마번,마명,성별,연령,산지,level,스피드(100),수득상금(100),부담력(100),지구력(100),우승거리(100),레이팅,총경기,1st,2st,3st,수득상금(천원),조교사이름,조교사번호,마주,부마명,부마번,총경기_F,1st_F,2st_F,3st_F,모마명,모마번,총경기_M,1st_M,2st_M,3st_M
45999,제타마스터,1,2,0,6,29.65,36.82,5.0,45.73,5.0,,2,0,0,0,0,우창구,5,김갑수,테스타마타,34428.0,38.0,7.0,4.0,7.0,백산여왕,35083.0,16.0,1.0,2.0,1.0
43070,젤로스,2,4,0,5,38.65,38.45,34.67,56.59,5.0,,14,0,1,2,"14,100",휴양마,999,함평제일,시에로골드,23493.0,14.0,4.0,2.0,0.0,브리짓스드림,29425.0,26.0,4.0,4.0,8.0
41733,조우니가,2,6,1,2,59.06,54.39,52.46,51.91,77.53,,32,3,4,3,"257,600",문병기,21,안희철,GOLDENCENTS,6103967.0,18.0,7.0,7.0,0.0,DIXIE STAMP,6842338.0,10.0,1.0,1.0,0.0
40602,조이브라더,0,5,0,2,62.1,63.12,70.24,56.26,55.76,,22,6,5,2,"318,290",리카디,34,이성인,피스룰즈,25790.0,19.0,9.0,2.0,2.0,풀문파티,26457.0,32.0,7.0,0.0,5.0
42131,좋은관계,0,4,0,4,53.98,50.9,61.35,51.34,80.97,,20,2,2,4,"124,040",신삼영,41,유영준,머스킷맨,36732.0,16.0,6.0,3.0,5.0,수호천사,24425.0,34.0,2.0,4.0,4.0
46261,주몽천하,1,2,0,6,51.88,49.62,43.56,64.83,5.0,,2,0,1,0,"16,200",강환민,31,씨유네트워크,카우보이칼,38391.0,19.0,7.0,5.0,2.0,킹덤레이스,26785.0,25.0,3.0,4.0,5.0
44296,주얼리베스트,2,3,0,6,24.38,37.17,5.0,47.84,5.0,,11,0,0,0,"2,000",심승태,37,김태성,지롤라모,40246.0,11.0,5.0,0.0,1.0,주얼리파티,32396.0,26.0,5.0,5.0,2.0
43186,중추부사,2,4,0,5,44.23,46.94,43.56,52.72,36.33,,10,2,1,0,"28,800",강성오,9,김기종,컬러즈플라잉,27443.0,7.0,1.0,1.0,3.0,비바라슬램,29182.0,8.0,1.0,0.0,1.0
43181,지금여기에,1,4,0,5,37.55,40.31,52.46,49.36,77.53,,23,1,1,1,"38,400",김윤섭,32,최성룡,커널존,38332.0,15.0,6.0,3.0,1.0,승리의함성,24553.0,34.0,6.0,2.0,3.0
45183,지모션,1,2,0,6,59.3,53.81,43.56,69.3,5.0,,2,0,1,1,"21,600",리카디,34,이강운,SUMMER FRONT,6106652.0,23.0,8.0,6.0,3.0,레이디도리스,44980.0,13.0,3.0,0.0,2.0
