마번,마명,성별,연령,레이팅1,수득상금(천원),마주,부마명,모마명,조교사이름,조교사번호,총경기,1st,2st,3st,산지,level
45280,라온슈퍼킹,1,2,0,0,손광섭,테이크차지인디,검은나비,박종곤,1,2,0,0,0,0,6
45196,라온스파이크,2,2,0,"8,400",손천수,머스킷맨,라온발리,박종곤,1,2,0,0,1,0,6
45195,라온시티걸,2,2,0,"8,400",손광섭,CARPE DIEM,새터데이나이트라,박종곤,1,2,0,0,1,0,6
45788,라온아메리칸,1,2,0,"23,200",손광섭,머스킷맨,라온챔버,박종곤,1,3,0,1,1,0,6
45709,라온에어포스,1,2,0,0,손광섭,투아너앤드서브,영원한행복,박종곤,1,1,0,0,0,0,6
45199,라온자이언트,2,2,44,"57,000",손광섭,머스킷맨,라온볼드,박종곤,1,3,2,0,0,0,4
45786,라온점프,2,2,0,"3,000",손광섭,머스킷맨,라온리치,박종곤,1,2,0,0,0,0,6
40558,라온탑맨,0,5,97,"366,550",손광섭,머스킷맨,라온챔버,박종곤,1,20,5,6,4,0,1
41304,라온패션,0,5,73,"217,850",손천수,올드패션드,토니위드앤아이,박종곤,1,19,4,4,2,0,2
40560,라온퍼스트,2,5,120,"1,546,550",손천수,머스킷맨,핑크캔디,박종곤,1,20,11,1,4,0,1
46086,라온포레스트,2,2,28,"30,800",손광섭,한센,라온나리,박종곤,1,4,0,2,0,0,5
42461,라온핑크,2,4,75,"357,850",손천수,머스킷맨,핑크캔디,박종곤,1,14,6,3,0,0,2
45707,라온홀리데이,1,2,0,0,손광섭,머스킷맨,머제스틱엠프리스,박종곤,1,2,0,0,0,0,6
40786,라이드럭키,0,5,58,"113,050",박덕희,포리스트캠프,퍼스트스테이지,임채덕,35,14,4,1,0,0,3
45671,라이오넷,2,4,36,"15,550",최상기,GEMOLOGIST,PUMPKIN SHELL,서인석,33,12,0,0,1,1,4
43848,라이징호크,2,3,39,"66,800",홍종철,메니피,겨울왕국,휴양마,999,9,2,1,2,0,4
41646,라피도아레스,2,5,62,"174,520",허장원,라이언메탈,트라피컬선셋,송문길,40,17,5,3,1,0,3
42159,라피어반,2,4,54,"120,110",임종근,STRONG MANDATE,미스메리케이,서범석,12,14,3,3,1,0,3
44276,랠리퀸,2,3,29,"16,000",최동근,카우보이칼,클레버타이밍,휴양마,999,10,1,0,0,0,5
44111,러너몬스터,1,3,28,"15,750",손학봉,사이먼퓨어,대각힐원만,최영주,3,13,0,2,1,0,5
42724,러닝넘버원,1,4,52,"116,940",(주)디알엠씨티,테이크차지인디,위티레이디,배대선,20,22,2,5,1,0,3
45118,러블리케이,2,4,69,"149,600",강경운,CAIRO PRINCE,MEDICINE BUTTE,우창구,5,18,4,1,2,1,2
50160,러피언이글,2,3,0,"1,250",박종율,엑톤파크,아오모리특급,김동철,53,6,0,0,0,0,6
44190,럭센,1,3,0,"7,750",손칠규,세트피스,마법의순간,임채덕,35,14,0,1,0,0,6
40622,럭셔리캡틴,0,5,50,"89,440",박정재,윈체스터,카이제린,심승태,37,16,3,2,2,0,4
43407,럭셔리킹,1,4,24,"28,710",김명식,리미트리스비드,럭셔리퀸,김동철,53,27,1,0,2,0,5
41118,럭키법전,1,5,70,"230,190",럭키팜,한센,돈스피치,박재우,50,21,5,4,4,0,2
47375,럭키선,1,2,40,"55,000",(주)인펨,커널존,블레이드즈에지,안해양,26,2,2,0,0,0,4
42593,럭키월드,1,4,59,"131,320",윤대우,한센,프리트인그란,김동균,52,18,3,4,3,0,3
45087,럭키인디,2,3,31,"32,300",김성래,지롤라모,뉴미디어,안해양,26,11,1,1,1,0,5
42344,럭키재산,2,4,67,"182,440",럭키팜,한센,미스로브,휴양마,999,11,5,1,2,0,2
43692,럭키크라운,2,3,29,"37,350",이미경,지롤라모,퍼리지안,배휴준,29,12,1,0,1,0,5
42861,럭키클럽,0,4,21,"51,950",이본희,사이먼퓨어,센트럴코스트,박윤규,4,17,1,0,1,0,5
45307,럭키파워,1,2,33,"69,900",럭키팜,메니피,오버파워,박재우,50,5,1,2,1,0,5
46197,럭키허니,2,2,0,0,윤대우,콩코드포인트,모어인트리그,김동균,52,2,0,0,0,0,6
45126,럭키훈,0,4,57,"76,540",최기영,TAPITURE,HOLY FASHION,전승규,25,15,2,1,3,1,3
44225,런던명가,1,3,30,"16,950",임현성,테이크차지인디,새로운가문,안해양,26,6,1,0,0,0,5
45409,런던비상,2,2,0,0,임현성,지롤라모,런키튼런,휴양마,999,3,0,0,0,0,6
44004,런던스카이,1,3,31,"48,400",임재형,콩코드포인트,소백수,안해양,26,10,1,0,2,0,5
43063,런던스피드,2,4,36,"47,600",임현성,커널존,오리엔탈패스,안해양,26,13,2,1,1,0,4
42397,런던액티브,2,4,50,"92,450",임현성,커널존,아르누보,휴양마,999,17,2,4,0,0,4
45994,런던에이스,2,2,0,"8,400",임현성,테이크차지인디,에이원,휴양마,999,2,0,0,1,0,6
42876,런던퀸,2,4,29,"41,570",임현성,유로실버,퀸즈스텝,이희영,13,17,1,1,2,0,5
42695,런던파워,2,4,28,"24,660",임현성,올드패션드,로빈즈레인,이희영,13,13,1,0,2,0,5
42448,런런런,1,4,41,"61,500",청메이칭,피스룰즈,행운성,서범석,12,19,1,3,2,0,4
44689,런보이런,0,3,42,"58,400",김길중,밥앤드존,댄싱위드스타즈,안해양,26,6,2,1,1,0,4
42632,레드백,1,4,61,"141,310",윤훈현,피스룰즈,포리스트플라워,휴양마,999,15,4,1,3,0,3
45354,레드태풍,2,2,0,0,제일우,투아너앤드서브,레드벅,안해양,26,1,0,0,0,0,6
46178,레몬블레이드,1,2,0,0,김병진,카우보이칼,메이저즈걸Ⅱ,강환민,31,2,0,0,0,0,6
41476,레이디켈리,2,5,79,"353,450",(주)인펨,디바인파크,빅터우먼,휴양마,999,21,6,1,5,0,2
38949,레이먼드,1,6,76,"430,600",박남성,와이와이와이,셀시,이관호,42,37,5,3,9,0,2
43821,레이볼트,2,3,27,"16,300",희망홀스,메니피,러브투러브,박천서,54,8,0,2,0,0,5
52034,레이스위너,2,2,50,"41,250",에스지이건설,레이스데이,PUUKU,정호익,10,1,1,0,0,1,4
44969,레전드데이,1,4,98,"328,770",양순희,레이스데이,SAKRA,김동균,52,17,8,3,1,1,1
44453,레전드삭스,2,3,31,"23,400",김창식,카우보이칼,액셉팅페이트,강환민,31,4,1,0,0,0,5
46297,레전드케이,1,2,0,0,강경운,선더모카신,영크라운,배대선,20,1,0,0,0,0,6
