마번,마명,모마성적
22400,허쉬틸드,28전(5/4/2)
22424,칸의별,21전(4/5/3)
22451,라이파이,7전(4/1/1)
22491,영순위,12전(2/1/0)
22546,업라이징,13전(6/1/1)
22570,남한산성,36전(1/1/1)
22675,만점환희,25전(5/2/3)
22695,천상의여왕,27전(4/3/1)
22759,새로운가문,27전(2/3/4)
22797,알드라이크,11전(0/0/1)
22836,라온챔버,21전(6/0/1)
22861,크라운플래그,35전(2/4/7)
22890,탱고스텝,35전(7/1/3)
22955,배블클래식,19전(5/2/1)
22962,아침사랑,19전(6/1/2)
22971,유성제일,27전(3/6/5)
22977,하루에,9전(3/2/2)
23129,안성축제,26전(5/3/4)
23138,검은나비,47전(0/3/2)
23195,동방미인,22전(5/2/3)
23199,동방로즈,22전(7/2/3)
23207,리걸레이디,15전(6/0/2)
23236,샤우트하니,23전(4/1/1)
23242,파인질주,8전(1/2/1)
23246,청산도,30전(2/2/4)
23275,행복한계절,7전(3/2/0)
23319,예스트라이크,32전(6/4/2)
23347,그레이톰보이,24전(1/2/3)
23349,최선돌파,25전(2/3/3)
23396,아임레전드,28전(4/3/3)
23399,로즈라인,18전(1/5/5)
23406,케이랜즈로즈,31전(7/1/7)
23427,고스틀리갤,35전(5/6/6)
23434,두다데이,0전(0/0/0)
23441,루너룰러,31전(4/2/9)
23442,시티스타일링,19전(5/3/2)
23467,웨이팅포소피아,0전(0/0/0)
23479,센트럴코스트,42전(1/4/3)
23492,케이빌,0전(0/0/0)
23509,마그네틱플레이스,2전(0/0/0)
23556,홀리드림러브,13전(1/1/0)
23587,쿠든헬프마이셀프,25전(0/3/1)
23605,싱가포르드림,6전(0/2/1)
23696,롤링온스트롱,17전(4/1/3)
23698,레드영,18전(5/1/1)
23702,은빛투혼,14전(4/0/0)
23728,커맨드엔드호프,3전(0/0/0)
23730,박스우드,0전(0/0/0)
23746,허니팟,3전(0/0/0)
23824,아프리칸골드,7전(1/2/0)
23884,퍼스트스테이지,4전(0/1/1)
23893,이츠트루블루,0전(0/0/0)
23903,파워팩,9전(4/0/3)
23919,촐룰라캣,9전(0/1/2)
23920,럭앤드페임,8전(3/0/1)
23921,다이아몬드브리나,7전(1/0/0)
23926,스톨른미스,6전(1/0/1)
23937,스피닝윈드,7전(2/2/1)
23947,골드플라이어,17전(1/4/0)
23948,러브마이와일드캣,0전(0/0/0)
23985,스위트스마일,8전(0/1/0)
24009,퀸카,17전(0/0/0)
24025,총알처럼,33전(1/2/5)
24031,델리시아스,1전(0/0/0)
24032,헤이고져스,10전(1/2/3)
24094,프리트인그란,44전(3/3/6)
24099,본프로스펙터,23전(3/4/1)
24138,스페셜레드,2전(0/0/0)
24146,마오노,18전(3/3/1)
24155,올블레싱즈,11전(0/0/2)
24174,최초로,33전(6/2/5)
24222,에이원,26전(5/3/2)
24341,센걸,14전(4/2/3)
24343,임페리얼스타,22전(6/5/3)
24354,다이아캣,5전(1/1/2)
24368,싸이클론,18전(4/5/1)
24371,샤프컨셉,34전(5/2/6)
24383,골든스톰,11전(1/2/2)
24408,새벽천사,24전(4/3/1)
24425,수호천사,34전(2/4/4)
24435,어매스,20전(4/3/4)
24436,마이티포에버,39전(3/6/4)
24453,댄징샐리,31전(2/4/4)
24463,기억날그날,18전(5/1/3)
24475,님의찬가,19전(1/2/1)
24514,다이나스퍼트,16전(1/2/3)
24553,승리의함성,34전(6/2/3)
24562,동방의미소,13전(1/2/2)
24609,럭키박스,23전(3/3/5)
24651,명서돌풍,24전(3/1/3)
24690,와일드캣,15전(4/3/0)
24712,빅터우먼,21전(3/1/1)
24718,나이스터치,16전(1/0/4)
24748,라온리치,20전(3/2/2)
24762,실비아그린,32전(2/4/2)
24767,불꽃기상,17전(7/1/2)
24775,신한우먼,1전(0/0/0)
24922,용두성,15전(9/3/1)
24924,피렌체,34전(4/3/3)
24932,버터플라이,9전(1/2/1)
24968,레몬펀치,7전(1/1/0)
24984,금수옥주,4전(0/0/2)
25043,뷰티이천,18전(3/5/1)
25045,천둥번쩍,41전(4/5/4)
25117,성공시대,2전(1/0/0)
25154,히어더레이디,28전(3/3/3)
25175,노던파크,27전(2/7/4)
25176,한바다,22전(1/1/3)
25197,희망북소리,28전(2/2/1)
25203,미스윈,39전(3/6/3)
