year,height,weight,grade,gender,gradecode,gendercode
2017,152.5,47.9,elementary,man,2,1
2017,153.2,46.6,elementary,woman,2,0
2017,170.6,63.8,middle,man,0,1
2017,160.4,54.2,middle,woman,0,0
2017,173.9,72.3,high,man,1,1
2017,160.9,57.7,high,woman,1,0
